datetime;power;wind_speed;wind_direction;humidity;temperature;pressure;ghi
01/01/2022 05:30;2567.46;1.08;112.1;91;18.21;931;13
01/01/2022 05:45;12376.49;0.92;103.5;91;18.2;931;39
01/01/2022 06:00;31571.11;1.08;136;91;18.45;931;58
01/01/2022 06:15;38372.91;0.78;112.05;90.85;19.09;931;93
01/01/2022 06:30;31825.42;0.6;113.2;90.5;19.68;931;136
01/01/2022 06:45;29477.19;0.64;90.15;89.2;20.16;931;156
01/01/2022 07:00;54725.09;0.24;57.89;88.9;20.16;931;190
01/01/2022 07:15;71628.19;0.69;73.95;88.4;20.7;931;252
01/01/2022 07:30;70797.73;1.21;72.2;87.1;21.21;931;310
01/01/2022 07:45;100084.76;1.13;36.24;87.15;21.42;931;322
01/01/2022 08:00;84502.57;1.41;39.26;86.7;21.55;931;360
01/01/2022 08:15;132541.7;1.25;24.5;85.15;22.13;931;337
01/01/2022 08:30;98945.89;1.13;10.6;83.2;22.83;931;386
01/01/2022 08:45;103754.29;1.02;176.37;82.15;23.2;929.5;473
01/01/2022 09:00;102771.27;1.35;19.06;81.9;23.22;929;393
01/01/2022 09:15;127207.26;1.34;196.03;80.53;23.59;929.5;526
01/01/2022 09:30;172277.48;1.49;10.55;79.5;24.11;929;472
01/01/2022 09:45;127798.75;1.76;8.46;77.8;24.54;929;399
01/01/2022 10:00;93755.09;1.42;2.57;79.43;24.38;929;305
01/01/2022 10:15;71152.39;1.31;1.47;79.57;24.47;929;261
01/01/2022 10:30;77681.24;1.62;2.64;79.72;24.39;929;346
01/01/2022 10:45;85218.85;1.86;179.88;77.88;24.52;929;454
01/01/2022 11:00;127256.75;1.65;2.69;77.85;24.68;929;652
01/01/2022 11:15;101034.65;2.31;1.49;76.47;25.19;929;650
01/01/2022 11:30;157633.94;2.63;13.07;75.18;25.46;929;796
01/01/2022 11:45;183055.65;2.42;348.9;75.33;25.91;929;743
01/01/2022 12:00;173601.4;3.03;338;73.71;26.24;927;718
01/01/2022 12:15;224005.8;2.69;175.75;73.08;26.29;927;743
01/01/2022 12:30;195524.17;3.06;2.61;71.45;26.65;927;540
01/01/2022 12:45;130183.21;2.94;332.1;71.6;26.54;927;820
01/01/2022 13:00;88538.03;2.58;20.18;71.17;26.4;927;723
01/01/2022 13:15;182728.44;3.05;2.73;70.03;27.12;927;544
01/01/2022 13:30;202814.78;2.69;0.1;69.85;27.19;927;746
01/01/2022 13:45;108225.45;2.38;172.37;66.03;28.01;926;580
01/01/2022 14:00;94946.43;2.44;2.88;65.66;27.71;925;452
01/01/2022 14:15;63595.07;1.83;123.68;66.47;27.31;925;249
01/01/2022 14:30;37299.47;2.34;245.7;70.87;26.4;925;291
01/01/2022 14:45;10678.08;2.65;254.65;71.98;24.88;926.5;130
01/01/2022 15:00;12871.2;2.2;332.3;75.98;23.74;927;118
01/01/2022 15:15;25354.12;3.24;237.4;85.15;21.38;927;110
01/01/2022 15:30;29648.62;1.76;96.9;88.2;20.36;928;90
01/01/2022 15:45;33094.65;1.87;100.35;88.8;20.71;929;33
01/01/2022 16:00;43283.57;1.92;125.1;89.6;20.08;929;73
01/01/2022 16:15;53748.99;1.8;107.65;90.05;20.35;929;188
01/01/2022 16:30;49500.11;2.07;146.7;90.1;20.55;929;191
01/01/2022 16:45;29792.64;1.97;118.25;90.1;20.53;929;179
01/01/2022 17:00;47045.54;1.89;149.1;90.1;20.59;929;238
01/01/2022 17:15;60606.27;1.79;155.85;89.85;20.78;929;160
01/01/2022 17:30;14853.95;1.81;112.8;88.5;21.29;929;82
01/01/2022 17:45;9282.57;1.4;171.7;88.8;20.88;929;61
01/01/2022 18:00;4645.87;1.24;104.7;89;20.57;929;48
01/01/2022 18:15;2257.27;1.16;152.55;89.1;20.48;929;38
01/01/2022 18:30;250.15;1.1;110.3;89.4;20.38;930;19
01/01/2022 18:45;98.05;1.47;105.2;89.35;20.45;931;2
01/01/2022 19:00;0;1.14;129;89.3;20.45;931;0
01/01/2022 19:15;0;1.14;87.04;89.45;20.43;931;0
01/01/2022 19:30;0;1.17;119.7;89.8;20.32;931;0
01/01/2022 19:45;0;1.19;121.9;90.05;20.32;931;0
01/01/2022 20:00;0;1.23;92.8;90.2;20.38;931;0
02/01/2022 05:30;734.49;0.87;112.1;91;19.81;933;5
02/01/2022 05:45;4404.61;0.57;124.55;91;19.71;933.5;31
02/01/2022 06:00;13234.81;0.74;103.1;91;19.78;934;51
02/01/2022 06:15;23222.63;0.8;122.7;91;19.98;934;88
02/01/2022 06:30;22648.37;0.88;126.5;90.9;20.34;934;140
02/01/2022 06:45;70126.41;0.49;141.2;90.85;20.55;934.5;172
02/01/2022 07:00;96178.85;0.42;91.4;90.6;21.55;934;230
02/01/2022 07:15;104579.09;0.86;97.45;88.1;22.38;933;357
02/01/2022 07:30;106956.64;1.03;105.1;86.2;22.76;933;431
02/01/2022 07:45;120362.41;1.22;65.95;85.5;23.17;933;492
02/01/2022 08:00;137314.61;1.06;31.04;85.3;23.49;931;549
02/01/2022 08:15;148906.66;1.21;84.91;81.6;24.34;931;605
02/01/2022 08:30;170101.62;1.23;38.97;78.75;24.82;931;645
02/01/2022 08:45;146627.83;1.8;21.03;76.64;25.1;931;650
02/01/2022 09:00;153811.86;1.75;67.25;76.62;25.19;931;574
02/01/2022 09:15;142714.71;1.7;37.59;74.7;25.51;931;584
02/01/2022 09:30;136563.37;1.19;98.5;74.05;25.66;931;772
02/01/2022 09:45;143872.69;1.6;4.93;73.41;25.81;931;859
02/01/2022 10:00;215815.31;1.84;54.13;73.73;25.53;931;724
02/01/2022 10:15;139295.94;1.5;26.91;71.86;26.56;931;488
02/01/2022 10:30;140404.61;1.8;4.61;71.98;26.33;931;445
02/01/2022 10:45;134884.51;1.84;13.38;72.79;26.31;930.5;506
02/01/2022 11:00;207286.38;1.84;351.8;72.76;26.42;929;725
02/01/2022 11:15;160077.52;1.52;10;71.87;26.82;929;823
02/01/2022 11:30;152439.08;1.24;0;71.6;26.74;929;514
02/01/2022 11:45;73346.73;2.18;351.85;72.86;26.48;929;297
02/01/2022 12:00;96334.59;2.52;330.9;74.64;25.75;929;441
02/01/2022 12:15;219491.73;1.87;178.66;77.91;25.41;929;724
02/01/2022 12:30;139856.47;2.08;2.73;73.78;26.59;929;563
02/01/2022 12:45;114660.97;2.23;191.95;70.44;26.86;929;681
02/01/2022 13:00;165148.83;2.46;46.86;77.44;25.38;929;652
02/01/2022 13:15;136126.03;2.13;51.8;74.31;25.77;929;605
02/01/2022 13:30;141139.8;1.7;100.2;71.57;26.6;928;737
02/01/2022 13:45;176918.43;1.31;23.19;67.81;27.12;927;688
02/01/2022 14:00;141260.79;1.35;306.4;66.49;27.39;927;588
02/01/2022 14:15;101920.47;1.47;130.7;68.69;27.34;927;394
02/01/2022 14:30;114225.29;1.21;14.52;69.3;27.1;926;437
02/01/2022 14:45;106161.26;1.12;43.19;67.69;27.36;926;419
02/01/2022 15:00;126014.5;1.14;103.1;66.42;27.61;925;494
02/01/2022 15:15;87181.86;0.98;203.05;63.88;27.93;925;387
02/01/2022 15:30;81408.56;0.73;97.2;62.78;28.04;925;453
02/01/2022 15:45;100703.33;0.87;80.12;61.95;27.93;925;409
02/01/2022 16:00;106391.76;1.2;3.75;59.83;28.21;925;338
02/01/2022 16:15;66994.41;0.98;111.45;61.25;28.04;925;257
02/01/2022 16:30;58189.57;1.18;69.91;62.87;27.72;925;191
02/01/2022 16:45;84203.69;1.2;105.55;63.14;27.6;925;195
02/01/2022 17:00;69540.98;1.29;63.45;62.88;27.68;925;223
02/01/2022 17:15;67303.97;1.33;94.9;64.72;27.48;925;197
02/01/2022 17:30;23567.36;1.62;116.8;68.27;27.36;925;172
02/01/2022 17:45;18248.65;1.42;126.65;72.97;26.1;925;126
02/01/2022 18:00;14621.42;1.23;105.8;73.84;25.52;926;100
02/01/2022 18:15;9659.69;1.02;125.65;74.44;25.34;927;60
02/01/2022 18:30;5936.75;1.53;129.2;72.95;25.15;927;20
02/01/2022 18:45;1672.13;1.24;109.95;74.03;24.63;927;3
02/01/2022 19:00;57.28;1.23;81.9;76.89;23.91;928;0
02/01/2022 19:15;0;0.94;101.68;79.34;23.41;929;0
02/01/2022 19:30;0;0.84;108.5;80.4;23.33;929;0
02/01/2022 19:45;0;0.88;118.2;82.6;22.71;929;0
02/01/2022 20:00;0;0.98;117;83.6;22.57;929;0
03/01/2022 05:30;2045.33;0.61;113.7;89;21.12;933;8
03/01/2022 05:45;4939.13;0.73;93.85;88.05;21.41;933;31
03/01/2022 06:00;9242.16;0.11;181;87.7;21.52;933;70
03/01/2022 06:15;18755.25;0;185.3;88.2;21.56;933;95
03/01/2022 06:30;34428.33;0.09;134.1;87.8;21.82;933;122
03/01/2022 06:45;36368.5;0.73;146.15;86.7;22.7;933;103
03/01/2022 07:00;38656.08;0.65;132;84;23.32;933;166
03/01/2022 07:15;35355.01;0.53;135.9;84.35;23.41;933;224
03/01/2022 07:30;44950.46;0.61;15.45;83.5;23.44;933;385
03/01/2022 07:45;129000.69;0.61;3.04;82.1;23.67;933;466
03/01/2022 08:00;141140.36;1.07;124;79.47;24.81;931;535
03/01/2022 08:15;149745.38;1.3;132.1;76.4;25.71;931;595
03/01/2022 08:30;162396.22;1.5;125;75.72;25.97;931;647
03/01/2022 08:45;162294.96;1.51;53.84;74.38;26.27;929.5;672
03/01/2022 09:00;133468.18;1.91;96;74.12;26.21;929;642
03/01/2022 09:15;189838.7;1.79;48.05;73.72;26.48;929;672
03/01/2022 09:30;138669.57;2.38;50.28;73;26.33;929;619
03/01/2022 09:45;140200.42;2.33;40.31;72.78;26.55;929;682
03/01/2022 10:00;186215.55;1.97;68.04;72.39;26.69;929;862
