id,stdorToU,datetime,Ppower,Qpower
MAC004016,Std,2012-07-06 12:00:00.0000000,0.373,0.000373
MAC004016,Std,2012-07-06 12:30:00.0000000,0.426,0.000426
MAC004016,Std,2012-07-06 13:00:00.0000000,0.378,0.000378
MAC004016,Std,2012-07-06 13:30:00.0000000,0.572,0.0005719999999999
MAC004016,Std,2012-07-06 14:00:00.0000000,0.662,0.000662
MAC004016,Std,2012-07-06 14:30:00.0000000,0.619,0.000619
MAC004016,Std,2012-07-06 15:00:00.0000000,0.588,0.000588
MAC004016,Std,2012-07-06 15:30:00.0000000,0.554,0.000554
MAC004016,Std,2012-07-06 16:00:00.0000000,0.58,0.00058
MAC004016,Std,2012-07-06 16:30:00.0000000,0.589,0.000589
MAC004016,Std,2012-07-06 17:00:00.0000000,0.674,0.000674
MAC004016,Std,2012-07-06 17:30:00.0000000,0.774,0.000774
MAC004016,Std,2012-07-06 18:00:00.0000000,0.745,0.000745
MAC004016,Std,2012-07-06 18:30:00.0000000,0.792,0.000792
MAC004016,Std,2012-07-06 19:00:00.0000000,0.806,0.000806
MAC004016,Std,2012-07-06 19:30:00.0000000,0.842,0.000842
MAC004016,Std,2012-07-06 20:00:00.0000000,0.707,0.000707
MAC004016,Std,2012-07-06 20:30:00.0000000,0.702,0.0007019999999999
MAC004016,Std,2012-07-06 21:00:00.0000000,0.53,0.00053
MAC004016,Std,2012-07-06 21:30:00.0000000,0.676,0.000676
MAC004016,Std,2012-07-06 22:00:00.0000000,0.717,0.000717
MAC004016,Std,2012-07-06 22:30:00.0000000,0.628,0.000628
MAC004016,Std,2012-07-06 23:00:00.0000000,0.633,0.000633
MAC004016,Std,2012-07-06 23:30:00.0000000,0.608,0.000608
MAC004016,Std,2012-07-07 00:00:00.0000000,0.272,0.000272
MAC004016,Std,2012-07-07 00:30:00.0000000,0.219,0.000219
MAC004016,Std,2012-07-07 01:00:00.0000000,0.145,0.000145
MAC004016,Std,2012-07-07 01:30:00.0000000,0.174,0.000174
MAC004016,Std,2012-07-07 02:00:00.0000000,0.18,0.0001799999999999
MAC004016,Std,2012-07-07 02:30:00.0000000,0.141,0.0001409999999999
MAC004016,Std,2012-07-07 03:00:00.0000000,0.194,0.000194
MAC004016,Std,2012-07-07 03:30:00.0000000,0.15,0.00015
MAC004016,Std,2012-07-07 04:00:00.0000000,0.159,0.000159
MAC004016,Std,2012-07-07 04:30:00.0000000,0.181,0.000181
MAC004016,Std,2012-07-07 05:00:00.0000000,0.14,0.00014
MAC004016,Std,2012-07-07 05:30:00.0000000,0.198,0.000198
MAC004016,Std,2012-07-07 06:00:00.0000000,0.154,0.000154
MAC004016,Std,2012-07-07 06:30:00.0000000,0.163,0.000163
MAC004016,Std,2012-07-07 07:00:00.0000000,0.198,0.000198
MAC004016,Std,2012-07-07 07:30:00.0000000,0.21,0.00021
MAC004016,Std,2012-07-07 08:00:00.0000000,0.496,0.000496
MAC004016,Std,2012-07-07 08:30:00.0000000,0.634,0.000634
MAC004016,Std,2012-07-07 09:00:00.0000000,0.62,0.00062
MAC004016,Std,2012-07-07 09:30:00.0000000,0.669,0.000669
MAC004016,Std,2012-07-07 10:00:00.0000000,0.931,0.000931
MAC004016,Std,2012-07-07 10:30:00.0000000,0.772,0.000772
MAC004016,Std,2012-07-07 11:00:00.0000000,0.819,0.000819
MAC004016,Std,2012-07-07 11:30:00.0000000,0.488,0.000488
MAC004016,Std,2012-07-07 12:00:00.0000000,0.478,0.0004779999999999
MAC004016,Std,2012-07-07 12:30:00.0000000,1.166,0.001166
MAC004016,Std,2012-07-07 13:00:00.0000000,0.828,0.000828
MAC004016,Std,2012-07-07 13:30:00.0000000,0.612,0.000612
MAC004016,Std,2012-07-07 14:00:00.0000000,0.462,0.000462
MAC004016,Std,2012-07-07 14:30:00.0000000,0.265,0.000265
MAC004016,Std,2012-07-07 15:00:00.0000000,0.26,0.00026
MAC004016,Std,2012-07-07 15:30:00.0000000,0.25,0.00025
MAC004016,Std,2012-07-07 16:00:00.0000000,0.217,0.000217
MAC004016,Std,2012-07-07 16:30:00.0000000,0.281,0.000281
MAC004016,Std,2012-07-07 17:00:00.0000000,0.474,0.000474
MAC004016,Std,2012-07-07 17:30:00.0000000,1.341,0.001341
MAC004016,Std,2012-07-07 18:00:00.0000000,0.636,0.000636
MAC004016,Std,2012-07-07 18:30:00.0000000,0.86,0.00086
MAC004016,Std,2012-07-07 19:00:00.0000000,0.983,0.000983
MAC004016,Std,2012-07-07 19:30:00.0000000,0.878,0.000878
MAC004016,Std,2012-07-07 20:00:00.0000000,0.92,0.00092
MAC004016,Std,2012-07-07 20:30:00.0000000,0.92,0.00092
MAC004016,Std,2012-07-07 21:00:00.0000000,0.779,0.000779
MAC004016,Std,2012-07-07 21:30:00.0000000,0.733,0.000733
MAC004016,Std,2012-07-07 22:00:00.0000000,0.742,0.000742
MAC004016,Std,2012-07-07 22:30:00.0000000,0.686,0.000686
MAC004016,Std,2012-07-07 23:00:00.0000000,0.721,0.000721
MAC004016,Std,2012-07-07 23:30:00.0000000,0.671,0.000671
MAC004016,Std,2012-07-08 00:00:00.0000000,0.655,0.000655
MAC004016,Std,2012-07-08 00:30:00.0000000,0.433,0.000433
MAC004016,Std,2012-07-08 01:00:00.0000000,0.178,0.000178
MAC004016,Std,2012-07-08 01:30:00.0000000,0.222,0.000222
MAC004016,Std,2012-07-08 02:00:00.0000000,0.189,0.000189
MAC004016,Std,2012-07-08 02:30:00.0000000,0.186,0.000186
MAC004016,Std,2012-07-08 03:00:00.0000000,0.223,0.000223
MAC004016,Std,2012-07-08 03:30:00.0000000,0.169,0.000169
MAC004016,Std,2012-07-08 04:00:00.0000000,0.199,0.000199
MAC004016,Std,2012-07-08 04:30:00.0000000,0.217,0.000217
MAC004016,Std,2012-07-08 05:00:00.0000000,0.169,0.000169
MAC004016,Std,2012-07-08 05:30:00.0000000,0.241,0.000241
MAC004016,Std,2012-07-08 06:00:00.0000000,0.236,0.000236
MAC004016,Std,2012-07-08 06:30:00.0000000,0.26,0.00026
MAC004016,Std,2012-07-08 07:00:00.0000000,0.199,0.000199
MAC004016,Std,2012-07-08 07:30:00.0000000,0.285,0.000285
MAC004016,Std,2012-07-08 08:00:00.0000000,0.332,0.000332
MAC004016,Std,2012-07-08 08:30:00.0000000,0.47,0.00047
MAC004016,Std,2012-07-08 09:00:00.0000000,0.532,0.000532
MAC004016,Std,2012-07-08 09:30:00.0000000,0.55,0.00055
MAC004016,Std,2012-07-08 10:00:00.0000000,0.685,0.000685
MAC004016,Std,2012-07-08 10:30:00.0000000,0.787,0.000787
MAC004016,Std,2012-07-08 11:00:00.0000000,0.974,0.000974
MAC004016,Std,2012-07-08 11:30:00.0000000,0.803,0.000803
MAC004016,Std,2012-07-08 12:00:00.0000000,1.659,0.001659
MAC004016,Std,2012-07-08 12:30:00.0000000,0.783,0.000783
MAC004016,Std,2012-07-08 13:00:00.0000000,1.748,0.001748
MAC004016,Std,2012-07-08 13:30:00.0000000,1.229,0.001229
MAC004016,Std,2012-07-08 14:00:00.0000000,0.911,0.000911
MAC004016,Std,2012-07-08 14:30:00.0000000,0.763,0.000763
MAC004016,Std,2012-07-08 15:00:00.0000000,0.925,0.000925
MAC004016,Std,2012-07-08 15:30:00.0000000,0.34,0.00034
MAC004016,Std,2012-07-08 16:00:00.0000000,0.296,0.000296
MAC004016,Std,2012-07-08 16:30:00.0000000,0.261,0.000261
MAC004016,Std,2012-07-08 17:00:00.0000000,0.322,0.000322
MAC004016,Std,2012-07-08 17:30:00.0000000,0.252,0.000252
MAC004016,Std,2012-07-08 18:00:00.0000000,0.852,0.000852
MAC004016,Std,2012-07-08 18:30:00.0000000,1.711,0.001711
MAC004016,Std,2012-07-08 19:00:00.0000000,0.706,0.0007059999999999
MAC004016,Std,2012-07-08 19:30:00.0000000,0.721,0.000721
MAC004016,Std,2012-07-08 20:00:00.0000000,0.881,0.000881
MAC004016,Std,2012-07-08 20:30:00.0000000,0.75,0.00075
MAC004016,Std,2012-07-08 21:00:00.0000000,0.53,0.00053
MAC004016,Std,2012-07-08 21:30:00.0000000,0.501,0.000501
MAC004016,Std,2012-07-08 22:00:00.0000000,0.448,0.000448
MAC004016,Std,2012-07-08 22:30:00.0000000,0.415,0.000415
MAC004016,Std,2012-07-08 23:00:00.0000000,0.407,0.0004069999999999
MAC004016,Std,2012-07-08 23:30:00.0000000,0.362,0.000362
MAC004016,Std,2012-07-09 00:00:00.0000000,0.631,0.000631
MAC004016,Std,2012-07-09 00:30:00.0000000,0.39,0.00039
MAC004016,Std,2012-07-09 01:00:00.0000000,0.486,0.000486
MAC004016,Std,2012-07-09 01:30:00.0000000,0.184,0.000184
MAC004016,Std,2012-07-09 02:00:00.0000000,0.18,0.0001799999999999
MAC004016,Std,2012-07-09 02:30:00.0000000,0.138,0.000138
MAC004016,Std,2012-07-09 03:00:00.0000000,0.204,0.000204
MAC004016,Std,2012-07-09 03:30:00.0000000,0.16,0.00016
MAC004016,Std,2012-07-09 04:00:00.0000000,0.146,0.000146
MAC004016,Std,2012-07-09 04:30:00.0000000,0.19,0.00019
MAC004016,Std,2012-07-09 05:00:00.0000000,0.153,0.000153
MAC004016,Std,2012-07-09 05:30:00.0000000,0.164,0.000164
MAC004016,Std,2012-07-09 06:00:00.0000000,0.196,0.000196
MAC004016,Std,2012-07-09 06:30:00.0000000,0.166,0.000166
MAC004016,Std,2012-07-09 07:00:00.0000000,0.456,0.000456
MAC004016,Std,2012-07-09 07:30:00.0000000,0.517,0.000517
MAC004016,Std,2012-07-09 08:00:00.0000000,0.612,0.000612
MAC004016,Std,2012-07-09 08:30:00.0000000,0.475,0.000475
MAC004016,Std,2012-07-09 09:00:00.0000000,0.445,0.000445
MAC004016,Std,2012-07-09 09:30:00.0000000,0.836,0.0008359999999999
MAC004016,Std,2012-07-09 10:00:00.0000000,0.424,0.000424
MAC004016,Std,2012-07-09 10:30:00.0000000,0.577,0.0005769999999999
MAC004016,Std,2012-07-09 11:00:00.0000000,1.385,0.001385
MAC004016,Std,2012-07-09 11:30:00.0000000,0.796,0.000796
MAC004016,Std,2012-07-09 12:00:00.0000000,0.513,0.000513
MAC004016,Std,2012-07-09 12:30:00.0000000,0.535,0.000535
MAC004016,Std,2012-07-09 13:00:00.0000000,0.504,0.000504
MAC004016,Std,2012-07-09 13:30:00.0000000,1.147,0.001147
MAC004016,Std,2012-07-09 14:00:00.0000000,0.291,0.0002909999999999
MAC004016,Std,2012-07-09 14:30:00.0000000,0.208,0.000208
MAC004016,Std,2012-07-09 15:00:00.0000000,0.36,0.0003599999999999
MAC004016,Std,2012-07-09 15:30:00.0000000,0.903,0.000903
MAC004016,Std,2012-07-09 16:00:00.0000000,0.608,0.000608
MAC004016,Std,2012-07-09 16:30:00.0000000,1.14,0.00114
MAC004016,Std,2012-07-09 17:00:00.0000000,0.544,0.000544
MAC004016,Std,2012-07-09 17:30:00.0000000,0.88,0.00088
MAC004016,Std,2012-07-09 18:00:00.0000000,1.248,0.001248
MAC004016,Std,2012-07-09 18:30:00.0000000,0.935,0.000935
MAC004016,Std,2012-07-09 19:00:00.0000000,0.666,0.000666
MAC004016,Std,2012-07-09 19:30:00.0000000,0.531,0.000531
MAC004016,Std,2012-07-09 20:00:00.0000000,0.824,0.000824
MAC004016,Std,2012-07-09 20:30:00.0000000,0.881,0.000881
MAC004016,Std,2012-07-09 21:00:00.0000000,0.837,0.000837
MAC004016,Std,2012-07-09 21:30:00.0000000,0.786,0.000786
MAC004016,Std,2012-07-09 22:00:00.0000000,0.672,0.000672
MAC004016,Std,2012-07-09 22:30:00.0000000,0.624,0.000624
MAC004016,Std,2012-07-09 23:00:00.0000000,0.533,0.000533
MAC004016,Std,2012-07-09 23:30:00.0000000,0.688,0.0006879999999999
MAC004016,Std,2012-07-10 00:00:00.0000000,0.248,0.000248
MAC004016,Std,2012-07-10 00:30:00.0000000,0.73,0.00073
MAC004016,Std,2012-07-10 01:00:00.0000000,0.214,0.000214
MAC004016,Std,2012-07-10 01:30:00.0000000,0.219,0.000219
MAC004016,Std,2012-07-10 02:00:00.0000000,0.178,0.000178
MAC004016,Std,2012-07-10 02:30:00.0000000,0.228,0.000228
MAC004016,Std,2012-07-10 03:00:00.0000000,0.202,0.000202
MAC004016,Std,2012-07-10 03:30:00.0000000,0.194,0.000194
MAC004016,Std,2012-07-10 04:00:00.0000000,0.21,0.00021
MAC004016,Std,2012-07-10 04:30:00.0000000,0.188,0.000188
MAC004016,Std,2012-07-10 05:00:00.0000000,0.325,0.000325
MAC004016,Std,2012-07-10 05:30:00.0000000,0.325,0.000325
MAC004016,Std,2012-07-10 06:00:00.0000000,0.338,0.000338
MAC004016,Std,2012-07-10 06:30:00.0000000,0.636,0.000636
MAC004016,Std,2012-07-10 07:00:00.0000000,0.558,0.000558
MAC004016,Std,2012-07-10 07:30:00.0000000,0.912,0.000912
MAC004016,Std,2012-07-10 08:00:00.0000000,0.638,0.000638
MAC004016,Std,2012-07-10 08:30:00.0000000,0.472,0.000472
MAC004016,Std,2012-07-10 09:00:00.0000000,0.552,0.000552
MAC004016,Std,2012-07-10 09:30:00.0000000,0.513,0.000513
MAC004016,Std,2012-07-10 10:00:00.0000000,0.622,0.000622
MAC004016,Std,2012-07-10 10:30:00.0000000,0.663,0.000663
MAC004016,Std,2012-07-10 11:00:00.0000000,0.641,0.000641
MAC004016,Std,2012-07-10 11:30:00.0000000,0.692,0.000692
MAC004016,Std,2012-07-10 12:00:00.0000000,0.56,0.00056
MAC004016,Std,2012-07-10 12:30:00.0000000,0.477,0.000477
MAC004016,Std,2012-07-10 13:00:00.0000000,0.355,0.000355
MAC004016,Std,2012-07-10 13:30:00.0000000,0.45,0.00045
MAC004016,Std,2012-07-10 14:00:00.0000000,0.783,0.000783
MAC004016,Std,2012-07-10 14:30:00.0000000,1.232,0.001232
MAC004016,Std,2012-07-10 15:00:00.0000000,1.462,0.001462
MAC004016,Std,2012-07-10 15:30:00.0000000,0.65,0.00065
MAC004016,Std,2012-07-10 16:00:00.0000000,0.415,0.000415
